#{"t_start": 1776070569.1192172, "env_id": "highway-v0"}
r,l,t
5.249608,7,1174.769423
5.409266,8,1177.282233
15.977923,22,1184.213952
21.238408,29,1193.199668
1.764923,3,1194.162282
1.960209,3,1195.124825
7.93366,11,1198.559915
13.98669,20,1204.722818
3.395366,5,1206.309738
7.758298,9,1209.102999
9.545539,14,1213.471189
7.879764,12,1217.190021
8.168099,12,1220.924296
4.295732,7,1223.137343
21.963632,30,1232.468688
3.367196,5,1234.021589
8.289802,12,1237.756265
10.062143,15,1242.451007
5.187419,7,1244.635666
14.418115,20,1250.865024
4.721608,6,1252.74225
10.00224,15,1257.370021
17.163137,20,1263.615687
20.625201,30,1272.99675
2.563432,4,1274.276716
21.523716,30,1284.302448
23.981884,30,1293.590143
22.249262,30,1302.917954
7.678132,10,1306.05033
6.607057,9,1308.882929
19.617709,26,1316.967527
2.959217,4,1318.234065
20.801524,30,1327.588545
4.953983,6,1329.472703
21.99176,30,1338.857612
22.48322,30,1348.217416
16.450875,24,1355.696842
22.964678,30,1364.991361
21.805497,30,1374.346961
1.598207,3,1375.305487
21.48144,30,1384.705136
2.401191,4,1385.961079
21.75275,30,1395.295104
14.721804,22,1402.211519
2.818415,5,1403.776969
11.486169,15,1408.457018
22.799214,30,1417.825386
3.977571,6,1419.737737
20.659181,30,1429.104167
4.363618,6,1430.988753
5.406174,7,1433.183593
16.295081,21,1439.81677
20.768273,30,1449.299834
21.408194,30,1458.529748
23.380978,30,1467.934829
17.652202,26,1476.066023
14.404732,18,1481.700321
21.643357,27,1490.058536
11.340985,17,1495.341019
22.556893,30,1504.707201
14.027809,20,1510.892779
5.849424,8,1513.397403
11.271268,16,1518.33808
11.289031,16,1523.317968
21.962369,30,1532.637203
5.659199,9,1535.477633
2.284091,4,1536.746992
17.548361,25,1544.510824
4.329545,7,1546.713953
6.203427,9,1549.554187
22.161418,30,1558.929562
6.930438,10,1562.039904
22.474958,30,1571.60168
20.975121,30,1580.926047
10.290253,15,1585.680035
8.852147,13,1589.757623
21.322041,30,1599.083234
6.202112,8,1601.584393
5.651184,9,1604.395594
2.403409,4,1605.67208
22.031526,30,1614.987646
14.354628,21,1621.508497
4.892045,8,1624.002279
8.58735,13,1628.089028
13.151183,20,1634.337661
20.736492,30,1643.699932
2.045455,4,1644.99169
20.828435,30,1654.238491
15.261747,21,1660.776571
4.287574,7,1662.958729
2.710927,4,1664.235236
4.683001,7,1666.418254
12.709217,19,1672.448635
15.526366,23,1679.61908
2.957371,4,1680.906993
22.277776,30,1690.285968
15.573724,23,1697.522048
7.254503,11,1700.953943
2.959217,4,1702.244386
3.054121,4,1703.506824
1.278391,2,1704.161316
5.32321,8,1706.679654
10.531576,15,1711.3907
2.957371,4,1712.651398
10.631717,16,1717.612868
1.767153,3,1718.567088
21.297956,30,1728.037787
1.600054,3,1728.997575
21.496954,30,1738.379643
9.019426,13,1742.470946
1.600054,3,1743.426511
8.444603,11,1746.880135
4.399145,6,1748.77598
12.302285,17,1754.081696
4.772727,8,1756.592602
18.573583,26,1764.647098
6.767027,9,1767.45471
3.202327,5,1769.014685
4.647402,7,1771.18565
20.834683,30,1780.651327
21.949594,30,1790.07807
5.096845,8,1792.578598
18.692199,27,1801.046947
21.410687,30,1810.480363
21.132433,27,1818.894269
6.935281,11,1822.368834
12.396019,18,1827.929919
3.718349,5,1829.497492
15.477959,21,1836.052382
11.97773,17,1841.415429
21.01033,30,1850.82356
8.721637,12,1854.559115
21.647699,30,1863.88965
11.267604,15,1868.556322
4.760184,6,1870.435322
21.456216,30,1879.830632
20.7023,30,1889.238018
19.205235,27,1897.69273
10.11407,15,1902.390314
12.052344,16,1907.373257
21.017292,30,1916.751353
22.884391,30,1926.984695
20.53988,30,1936.362092
22.472827,30,1945.70826
20.772709,30,1955.059533
20.810264,30,1964.578965
3.619551,6,1966.481397
8.689585,12,1970.238811
21.685236,30,1979.624
5.36039,7,1981.820607
9.743402,14,1986.181753
20.539858,30,1995.485153
4.651289,7,1997.657466
21.272625,30,2006.941914
16.246075,21,2013.461036
21.142388,30,2022.777307
19.163838,27,2031.19909
20.571645,30,2040.58376
20.736516,30,2049.981159
10.658359,14,2054.325905
20.454545,30,2063.674616
21.179362,30,2073.008842
20.65698,30,2082.405769
10.135772,15,2087.122545
6.664065,10,2090.269041
20.856827,30,2099.645311
9.414824,14,2104.032356
21.050119,30,2113.363861
20.711542,30,2122.815577
21.883061,30,2132.15345
21.091628,30,2141.484274
21.201178,30,2150.804563
3.390564,5,2152.380935
3.754165,5,2153.9611
2.568289,4,2155.21422
21.924079,30,2164.551989
15.309212,22,2171.407596
21.066099,30,2180.77256
11.165922,17,2186.120169
20.889809,30,2195.444211
21.021661,30,2204.906931
21.055903,30,2214.214123
4.448864,7,2216.43295
20.769478,30,2225.839698
21.205975,30,2235.21181
3.964917,6,2237.112806
20.895576,30,2246.394747
22.314397,30,2255.829586
3.609098,6,2257.792692
20.738703,30,2267.276193
3.528409,6,2269.181178
20.659198,30,2278.480883
3.608135,6,2280.34143
13.755682,21,2286.964271
1.922265,3,2287.920688
20.742325,30,2297.201752
6.099185,9,2299.986013
21.239236,30,2309.385545
18.100661,24,2316.864366
21.902716,30,2326.172518
20.825341,30,2335.438914
21.063055,30,2344.803149
6.605549,9,2347.616389
21.209533,30,2356.911101
22.195286,30,2366.329799
20.454545,30,2375.701223
16.785854,23,2382.845144
13.798934,20,2389.15964
14.547889,21,2395.744004
21.142725,30,2405.118845
12.846149,16,2410.151158
17.260792,23,2417.362657
22.168327,30,2426.78434
