time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss
31,63488,29.13,19837,19.846231940000003,3,6.823851762339473,-0.5407551351003349,0.0003,300,0.2,0.044921875,1.0325255393981934,0.0045176796,0.7685143798589706,-0.003195657001924701
32,65536,29.19,20476,19.895542119999998,3,30.98038985300809,-0.5137373299337924,0.0003,310,0.2,0.026904296875,16.333454132080078,0.0008783147,0.21280759572982788,-0.000980970041200635
33,67584,29.65,21116,20.21995934,3,18.249848416261376,-0.4792240634560585,0.0003,320,0.2,0.024560546875,42.01455307006836,0.0021988046,0.24339038133621216,-0.0009297293821873609
34,69632,29.65,21755,20.215866499999997,3,25.881570285279302,-0.47237913580611346,0.0003,330,0.2,0.018798828125,18.832218170166016,0.0007727721,0.17039775848388672,-0.001016529089429241
35,71680,29.68,22395,20.23478914,3,0.9737091564573348,-0.4802037081681192,0.0003,340,0.2,0.055029296875,0.2970256209373474,0.006330803,0.8180021941661835,-0.0010385538931586779
36,73728,29.52,23035,20.113955819999997,3,34.31745372787118,-0.5027282282710075,0.0003,350,0.2,0.003662109375,22.584537506103516,0.00032128283,0.17311489582061768,8.504235556756612e-05
37,75776,29.61,23674,20.188955800000002,3,24.542804727889596,-0.44795604087412355,0.0003,360,0.2,0.0203125,6.784504413604736,0.0030931237,0.2012888789176941,-0.0025900910262862454
38,77824,29.62,24314,20.18861484,3,11.34508576337248,-0.45168920084834097,0.0003,370,0.2,0.011376953125,0.8070749044418335,0.0010471416,0.7255626320838928,6.455222610384226e-05
39,79872,29.83,24953,20.337761490000002,3,13.967273011757062,-0.42377260476350787,0.0003,380,0.2,0.021044921875,0.35765722393989563,0.0021004544,0.12851989269256592,-0.0002616473320813384
40,81920,29.95,25594,20.42160402,3,0.2643304147175513,-0.4723003745079041,0.0003,390,0.2,0.08046875,0.057889413088560104,0.0122815855,0.7463601529598236,-0.004835719286347739
41,83968,30.0,26235,20.46597089,3,13.498386159841903,-0.4338402008637786,0.0003,400,0.2,0.033251953125,1.9056205749511719,0.0017560318,0.08091741800308228,-0.0007530478615080938
42,86016,29.13,26874,19.846786950000002,3,0.14280410925275647,-0.47100573452189565,0.0003,410,0.2,0.04248046875,0.049484651535749435,0.003699169,-1.30265474319458,-0.00020453864053706638
43,88064,28.85,27515,19.646695490000003,3,40.59757751207799,-0.4522818411700428,0.0003,420,0.2,0.009130859375,1.6638498306274414,0.00020057143,0.023346006870269775,0.0004972527967765927
44,90112,29.09,28155,19.81278369,3,31.97577152783051,-0.38404683768749237,0.0003,430,0.2,0.009912109375,24.342323303222656,0.002084775,0.10542410612106323,-0.001001372864629957
45,92160,30.0,28794,20.46051094,3,21.503754034079613,-0.43077507670968773,0.0003,440,0.2,0.03681640625,0.2317827045917511,0.004232274,0.10278147459030151,-0.0015081051940796896
46,94208,29.5,29433,20.206909969999998,3,0.20508053707308135,-0.5845257695764303,0.0003,450,0.2,0.150341796875,0.02285812422633171,0.01769175,-0.12000036239624023,-0.008094479743158444
47,96256,29.35,30073,20.12615667,3,36.57618927424774,-0.4214902721345425,0.0003,460,0.2,0.051953125,1.486189603805542,0.0026707393,0.06220966577529907,-0.003815424597269157
48,98304,28.81,30712,19.706981850000002,3,37.86591420117766,-0.4361171173863113,0.0003,470,0.2,0.01123046875,18.911231994628906,0.0017604625,0.05306422710418701,-0.0029897936758061404
49,100352,29.57,31352,20.279554559999998,3,64.19858082085848,-0.393903218396008,0.0003,480,0.2,0.0412109375,23.785503387451172,0.003265611,0.12527501583099365,-0.0055493946259957735
50,102400,29.87,31992,20.44425581,3,18.1441903822124,-0.4546836556866765,0.0003,490,0.2,0.0322265625,1.6945241689682007,0.0023262808,0.0983993411064148,-0.004915611382602947
51,104448,29.73,32632,20.34707758,3,17.29747974080965,-0.4045145849697292,0.0003,500,0.2,0.041357421875,31.57602310180664,0.0072173327,0.042544007301330566,-0.002247681821609149
52,106496,29.82,33272,20.387899530000002,3,14.360553592722862,-0.43331369580700996,0.0003,510,0.2,0.0455078125,0.17706134915351868,0.0035855914,0.03922396898269653,-0.0025510043793474323
53,108544,29.81,33912,20.36265061,3,0.10123729499755427,-0.47430330188944936,0.0003,520,0.2,0.0451171875,0.03669494017958641,0.017940143,0.5850516259670258,-0.0065535420973901635
54,110592,29.53,34552,20.146438410000002,3,13.696214839071036,-0.5458919590339064,0.0003,530,0.2,0.0693359375,11.107731819152832,0.007001388,0.0435219407081604,-0.0029161650338210164
55,112640,29.41,35192,20.04006403,3,29.790022199205122,-0.5212139471434056,0.0003,540,0.2,0.008154296875,38.3731803894043,0.0011022689,0.02521038055419922,-0.0006235919550817926
56,114688,28.93,35833,19.69717868,3,26.588347585313024,-0.5214914539828897,0.0003,550,0.2,0.01376953125,22.207653045654297,0.0022425898,0.10993605852127075,-0.0011550637616892345
57,116736,29.15,36473,19.85587921,3,55.49553270190954,-0.5418227444402873,0.0003,560,0.2,0.000439453125,21.228368759155273,0.0006534209,0.07163876295089722,-0.0011653129338810686
58,118784,29.57,37114,20.157495530000002,3,35.19566421881318,-0.5559836868196726,0.0003,570,0.2,0.006982421875,21.613086700439453,0.0016846801,0.22567105293273926,-0.0008751163768465631
59,120832,29.46,37754,20.10499896,3,25.20709852091968,-0.6016762560233474,0.0003,580,0.2,0.01162109375,1.4807764291763306,0.0026494474,0.22258687019348145,-0.0013268980248540175
60,122880,29.29,38394,19.97719955,3,38.61896435283124,-0.6122351014986634,0.0003,590,0.2,0.012109375,31.208593368530273,0.0016042771,0.09599536657333374,-0.0007945950448629447
61,124928,29.56,39034,20.1584841,3,27.37073415480554,-0.6416798563674092,0.0003,600,0.2,0.037060546875,2.1263489723205566,0.0034284678,0.13661211729049683,-0.0026706989243393763
62,126976,29.76,39674,20.29722761,3,50.41002367902547,-0.5258209980092943,0.0003,610,0.2,0.03974609375,5.968458652496338,0.002930005,0.1629084348678589,-0.006247694053308805
63,129024,29.45,40314,20.07528386,3,11.448182161804288,-0.5422555425204336,0.0003,620,0.2,0.03701171875,23.690814971923828,0.010647396,0.24966537952423096,-0.0030390986180464097
64,131072,29.09,40954,19.81248178,3,21.27565395552665,-0.5241786961443722,0.0003,630,0.2,0.032666015625,0.5095959305763245,0.0012945377,0.12671983242034912,-0.0005704653143766336
65,133120,29.5,41594,20.101858860000004,3,28.293602704815566,-0.4671830229461193,0.0003,640,0.2,0.008984375,32.219398498535156,0.0013877305,0.18625330924987793,-0.00022691311314702035
66,135168,29.36,42234,20.0125365,3,26.162634024582804,-0.47250319365411997,0.0003,650,0.2,0.0517578125,1.0667009353637695,0.002456673,0.37101423740386963,-0.0031352149053418543
