#{"t_start": 1776070577.9574978, "env_id": "highway-v0"}
r,l,t
11.902682,17,7.076263
9.419444,14,11.635874
1.960209,3,12.635284
7.196051,10,15.867315
6.50189,10,19.122379
12.981834,19,25.262289
10.06702,15,30.131341
6.575592,10,33.395574
5.957163,7,35.65695
3.558427,5,37.275454
4.363618,6,39.240987
17.445707,26,47.734851
12.293975,17,53.273217
11.895427,17,58.794844
10.845802,14,63.372729
22.604601,30,73.06866
9.397902,11,76.647829
4.967618,7,78.930057
21.59494,30,88.642237
5.048828,7,90.960252
1.600054,3,91.971207
16.469115,24,99.771665
4.199646,6,101.749758
21.697344,29,111.139471
7.996715,10,114.40074
21.918886,30,124.131375
20.65698,30,133.876872
4.690345,7,136.162678
18.407047,26,144.636003
18.109167,25,152.750292
4.524153,7,155.018066
13.004311,18,160.847555
5.55909,7,163.132723
5.923108,8,165.721822
2.375315,4,167.04227
2.045455,4,168.357209
9.440916,12,172.236316
11.555065,14,176.784745
20.893769,30,186.472024
10.141815,15,191.315018
13.761755,20,197.830516
1.764923,3,198.820352
2.398546,4,200.13905
11.069264,16,205.333231
7.403205,9,208.325837
1.602273,3,209.332308
9.842916,14,213.835131
10.837783,14,218.386195
2.281855,4,219.698223
8.846609,12,223.610205
9.730525,13,227.864245
3.364988,5,229.513339
6.119442,7,231.790579
16.897039,23,239.174019
21.243947,30,248.853585
15.328243,20,255.367798
3.556581,5,257.02022
9.534484,14,261.554769
1.764923,3,262.550297
9.414307,13,266.794764
2.41598,4,268.108697
7.759272,10,271.35195
1.650278,3,272.344247
4.404218,7,274.638824
1.960209,3,275.649965
3.848343,6,277.59446
23.438092,30,287.300814
15.719433,23,294.75977
5.720004,7,297.056396
14.704156,21,303.853224
2.398983,4,305.17261
2.594235,4,306.475873
4.555574,6,308.455018
15.257989,21,315.169378
16.074149,23,322.649028
16.788761,20,329.083707
20.944347,30,338.688818
10.596397,13,342.912971
21.769819,30,352.645786
22.455522,30,362.366186
3.085227,5,364.013406
5.589916,7,366.321728
7.58156,9,369.25947
13.620504,19,375.386605
5.593044,7,377.695886
5.009128,8,380.35324
2.759115,4,381.692466
10.450057,14,386.286265
2.284091,4,387.621584
16.01161,20,394.15661
13.053587,18,399.984225
7.199336,11,403.552208
2.398546,4,404.859463
3.049195,5,406.499758
16.786111,22,413.758039
22.7528,30,423.513752
20.945929,30,433.315253
15.358341,17,438.841776
3.955349,5,440.478169
16.06381,23,447.95586
2.596465,4,449.265221
2.248884,4,450.619808
4.201317,6,452.566211
14.08185,17,458.038432
11.665763,16,463.250751
21.811147,28,472.223461
11.686311,15,477.117904
13.058173,16,482.319475
7.756749,9,485.25385
17.113092,24,493.027972
3.562482,5,494.68438
4.565857,6,496.645574
1.602273,3,497.643565
2.957371,4,498.943144
3.957201,5,500.578255
5.762756,8,503.251008
3.204545,5,504.878243
1.960209,3,505.863333
15.309236,21,512.653358
23.234986,30,522.394533
22.354066,30,532.10472
4.404218,7,534.377418
9.386392,14,538.930668
4.166069,6,540.897565
0.851413,2,541.560137
10.262431,15,546.432607
11.564769,14,551.019152
6.395928,8,553.616804
19.279674,25,561.740677
0.798918,2,562.408721
21.84788,30,572.129528
19.250745,27,580.933949
15.85802,22,587.999113
1.764923,3,589.002873
2.955271,4,590.326526
8.756458,10,593.577319
1.795329,3,594.569066
4.45571,6,596.530884
3.960102,6,598.500902
4.764362,7,600.778834
2.792487,4,602.108733
21.501841,30,611.797847
6.951357,8,614.426471
8.495549,13,618.673129
14.259296,18,624.522838
6.956382,9,627.442094
11.873082,18,633.224324
1.767153,3,634.22025
2.955789,4,635.544064
15.173895,20,642.124743
21.564117,30,651.882245
5.358749,7,654.167558
22.700144,30,663.955262
11.171842,15,669.56451
1.767153,3,670.568601
4.446628,7,672.867536
14.943791,21,679.643844
2.568289,4,680.965939
6.883974,10,684.193581
16.823755,23,691.657397
8.935944,13,695.862525
5.181778,8,698.485524
21.60463,30,708.20906
10.496967,14,712.801787
13.005313,17,718.332947
6.958609,9,721.273334
10.759156,13,725.499146
1.598207,3,726.512455
20.94475,30,736.332233
5.95723,8,738.939532
15.770123,23,746.399443
12.257206,16,751.649484
4.681158,7,753.920161
10.538541,14,758.419654
12.829819,18,764.266984
1.726959,3,765.27154
12.940974,19,771.461957
8.537537,13,775.695717
8.693067,11,779.247565
8.285162,11,782.832792
21.57091,30,792.626326
5.539858,9,795.578112
15.487092,19,801.815551
5.605736,8,804.426576
2.759115,4,805.747537
1.600037,3,806.734431
5.396322,8,809.343358
15.700396,21,816.099095
7.39814,9,819.023841
1.958373,3,820.009952
1.602273,3,821.006364
11.257918,16,826.188177
2.566054,4,827.518405
3.395372,5,829.15199
2.959217,4,830.473174
3.20231,5,832.090991
9.269032,13,836.335397
16.48292,20,842.862502
0.966017,2,843.560031
12.857423,17,849.051235
9.210736,13,853.263405
21.280576,30,863.039334
9.935102,14,867.592763
16.505238,24,875.465663
3.614736,6,877.432127
