rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss
29.08,19.85804701,15,10003,30720,3,0.029747605323791504,0.2,0.43329116702079773,0.0027865167,0.03232421875,7.946060580015183,140,0.0003,-0.002271003853093134,-0.6985294040292501
28.82,19.673159990000002,16,10670,32768,3,0.03151506185531616,0.2,54.01346969604492,0.003100344,0.03896484375,35.84746648482978,150,0.0003,-0.002370168537891004,-0.6844638556241989
29.64,20.25685579,17,11337,34816,3,0.1148526668548584,0.2,12.19110107421875,0.0014667587,0.0265625,21.577615902200343,160,0.0003,-0.0019668119020934682,-0.6865077992901206
29.49,20.16223446,18,12004,36864,3,0.2869400978088379,0.2,0.7914233803749084,0.0034978788,0.027783203125,6.608678739331663,170,0.0003,-0.0020995275102905,-0.714059105142951
28.89,19.754580890000003,19,12670,38912,3,-0.0015424489974975586,0.2,5.100557327270508,0.0038292762,0.063427734375,23.474275327846406,180,0.0003,-0.0033736753845005295,-0.838759670779109
29.31,20.05641365,20,13337,40960,3,0.07969397306442261,0.2,33.01751708984375,0.005405414,0.0595703125,23.58305010292679,190,0.0003,-0.004531692797172582,-0.7953739931806922
29.38,20.07067305,21,14004,43008,3,0.06171339750289917,0.2,0.6596719622612,0.0054654316,0.0603515625,24.677655752934516,200,0.0003,-0.0022934539287234657,-0.6933148369193077
29.24,19.9635059,22,14670,45056,3,0.041077494621276855,0.2,20.991308212280273,0.004156732,0.02109375,33.052489299327135,210,0.0003,-0.0022902298776898535,-0.6388287216424942
29.28,19.97652291,23,15337,47104,3,0.2758215665817261,0.2,14.726701736450195,0.003372296,0.034765625,20.481619156897068,220,0.0003,-0.0022145327191537946,-0.6253378326073289
28.99,19.84696133,24,16004,49152,3,0.03762185573577881,0.2,3.5632314682006836,0.013570736,0.04560546875,47.46015069000423,230,0.0003,-0.0029174169736506882,-0.7137968240305781
28.76,19.64465377,25,16671,51200,3,0.19967561960220337,0.2,18.7889404296875,0.004693491,0.052587890625,38.48145449385047,240,0.0003,-0.005050702794687822,-0.7022565571591258
29.19,19.94316278,26,17338,53248,3,0.21171611547470093,0.2,11.022358894348145,0.0048823743,0.0583984375,37.26992269977927,250,0.0003,-0.0050440445193089545,-0.605078068934381
29.35,20.039145169999998,27,18005,55296,3,0.33889973163604736,0.2,1.5341941118240356,0.002631276,0.04267578125,16.27240613140166,260,0.0003,-0.004469695730949752,-0.5551506116986274
29.7,20.26846163,28,18671,57344,3,0.3911362886428833,0.2,1.0211033821105957,0.00337042,0.038720703125,21.899780824221672,270,0.0003,-0.0016851885717187542,-0.5274499035440385
29.74,20.291111209999997,29,19337,59392,3,0.5656464695930481,0.2,0.7903404235839844,0.012961309,0.052197265625,0.9294913431629539,280,0.0003,-0.004551542391709518,-0.528783344104886
