time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss
3,647,9.083581119999998,1,12.24,2048,,,,,,,,,,
3,1297,11.326421819999998,2,15.46,4096,10.234043957293034,0.0055558085441589355,0.2,0.0003,0.15859375,-1.6001768831163645,0.011355793,3.337414503097534,10,-0.017910839641990604
3,1946,12.865733469999999,3,17.88,6144,16.401388093829155,0.03618985414505005,0.2,0.0003,0.15419921875,-1.575749621540308,0.012234583,7.881938934326172,20,-0.017844688941841012
3,2596,14.796531569999997,4,20.69,8192,20.74685215651989,0.08329164981842041,0.2,0.0003,0.190234375,-1.5209074620157481,0.015966028,11.274806022644043,30,-0.021949043104541488
3,3246,16.496721429999997,5,23.4,10240,23.244775307178497,0.19904470443725586,0.2,0.0003,0.19580078125,-1.4556663643568755,0.0137894815,14.901961326599121,40,-0.024007454827369656
3,3894,17.19283443,6,24.63,12288,25.574307006597518,0.18913763761520386,0.2,0.0003,0.1498046875,-1.38683077134192,0.015117988,9.52270221710205,50,-0.01888641407931573
3,4543,17.803791659999998,7,25.83,14336,23.234880751371385,0.19135022163391113,0.2,0.0003,0.15712890625,-1.2870233748108149,0.015636206,11.32532787322998,60,-0.016097889088268858
3,5191,18.91939578,8,27.4,16384,21.384751012921335,0.14425772428512573,0.2,0.0003,0.093310546875,-1.1742244277149438,0.009674361,12.473892211914062,70,-0.009756452987494413
3,5839,19.99638023,9,29.03,18432,14.042260351777077,0.19200927019119263,0.2,0.0003,0.1103515625,-1.0531345423310996,0.009761162,4.431020736694336,80,-0.011403037527634297
3,6488,19.429125670000005,10,28.37,20480,17.418490865081548,0.04043453931808472,0.2,0.0003,0.045703125,-1.0474564721807837,0.0052484446,5.624030113220215,90,-0.00402061766362749
3,7137,19.319791350000003,11,28.23,22528,21.149175541847946,0.012468218803405762,0.2,0.0003,0.067236328125,-0.9583624934777617,0.0045494926,7.686158180236816,100,-0.0033785744548367803
3,7786,19.661709430000002,12,28.71,24576,37.63525369912386,0.023747682571411133,0.2,0.0003,0.011572265625,-0.8555842194706201,0.002744078,4.907878398895264,110,-0.002451145234226715
3,8435,19.91453499,13,29.09,26624,16.175173704326152,0.2992998957633972,0.2,0.0003,0.04931640625,-0.8109764486551285,0.0043649105,3.1840951442718506,120,-0.003931849102809792
3,9084,19.649117739999998,14,28.76,28672,10.829536587372422,0.15317022800445557,0.2,0.0003,0.06171875,-0.7877917382866144,0.008295674,25.59577751159668,130,-0.004755061771720648
3,9733,19.87296262,15,29.09,30720,24.955621076747775,0.06929224729537964,0.2,0.0003,0.024853515625,-0.7988081866875291,0.0016072644,15.844823837280273,140,-0.002572116703231586
3,10381,19.949056829999996,16,29.2,32768,7.899842405505479,-0.08516299724578857,0.2,0.0003,0.060595703125,-0.7552981005981565,0.0056005223,0.8408137559890747,150,-0.0037422038250952026
3,11029,19.74444949,17,28.92,34816,18.35151030868292,0.010132670402526855,0.2,0.0003,0.07861328125,-0.8470421599224209,0.005651636,0.6347545385360718,160,-0.0032242341279925314
3,11678,19.501581480000002,18,28.61,36864,40.02151453234255,-0.003102540969848633,0.2,0.0003,0.071044921875,-0.771031609363854,0.0066249166,3.4855668544769287,170,-0.004021923249092651
3,12328,19.75589847,19,28.98,38912,53.76109911650419,0.03958559036254883,0.2,0.0003,0.00673828125,-0.7331363838165998,0.0017400312,46.11280822753906,180,-0.0011680462295771577
3,12976,20.19254669,20,29.58,40960,27.00302555859089,0.19362401962280273,0.2,0.0003,0.025830078125,-0.7026525130495429,0.0036279713,1.7682583332061768,190,-0.0029272208899783435
