rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
11.7760055,0,86,4,64,0.9959466666666675,16.0,,,,,
9.354381625,0,137,8,101,0.9936033333333336,12.625,,,,,
9.259661083333334,0,199,12,147,0.9906900000000002,12.25,,,,,
11.148359125,0,325,16,240,0.9847999999999996,15.0,,,,,
10.583120599999999,0,388,20,286,0.9818866666666661,14.3,,,,,
11.044429833333334,0,491,24,362,0.9770733333333329,15.083333333333334,,,,,
10.345589214285713,0,537,28,396,0.9749200000000002,14.142857142857142,,,,,
10.2324910625,0,606,32,447,0.9716900000000002,13.96875,,,,,
10.33238325,0,685,36,505,0.968016666666666,14.027777777777779,,,,,
10.4199825,0,768,40,566,0.9641533333333326,14.15,,,,,
10.44110509090909,0,850,44,627,0.9602899999999993,14.25,,,,,
10.211265208333334,0,906,48,668,0.9576933333333325,13.916666666666666,,,,,
9.808048846153847,0,942,52,694,0.9560466666666677,13.346153846153847,,,,,
9.843297375,0,1019,56,751,0.9524366666666673,13.410714285714286,,,,,
10.109648349999999,0,1120,60,825,0.9477499999999994,13.75,,,,,
9.933578749999999,0,1176,64,866,0.9451533333333326,13.53125,,,,,
9.650386029411763,0,1212,68,892,0.9435066666666657,13.117647058823529,,,,,
9.394386666666668,0,1250,72,920,0.9417333333333334,12.777777777777779,,,,,
9.433429263157894,0,1323,76,974,0.9383133333333342,12.81578947368421,,,,,
9.639334349999999,0,1413,80,1043,0.933943333333333,13.0375,0.0005,42,0.05166598781943321,,
9.799508,0,1495,84,1108,0.9298266666666668,13.19047619047619,0.0005,107,0.17021544277668,,
10.001677829545455,0,1589,88,1182,0.925139999999999,13.431818181818182,0.0005,181,0.021543143317103386,,
10.05399693478261,0,1659,92,1237,0.921656666666666,13.445652173913043,0.0005,236,0.09590813517570496,,
10.05479165625,0,1723,96,1288,0.918426666666666,13.416666666666666,0.0005,287,0.029436202719807625,,
10.0607161,0,1789,100,1340,0.9151333333333342,13.4,0.0005,339,0.11684578657150269,,
9.974141600000001,0,1857,104,1394,0.9117133333333329,13.3,0.0005,393,0.04024052619934082,,
10.275692190000003,0,1956,108,1472,0.9067733333333343,13.71,0.0005,471,0.09881634265184402,,
10.24491075,0,2012,112,1516,0.9039866666666663,13.69,0.0005,515,0.3471175730228424,,
10.20426402,0,2112,116,1595,0.8989833333333339,13.55,0.0005,594,0.3728855848312378,,
10.482061060000001,0,2206,120,1670,0.8942333333333323,13.84,0.0005,669,0.272867351770401,,
10.556431720000003,0,2306,124,1749,0.88923,13.87,0.0005,748,0.3551689386367798,,
10.678182490000005,0,2363,128,1794,0.8863800000000003,13.98,0.0005,793,0.2492738664150238,,
10.82797955,0,2449,132,1862,0.8820733333333328,14.15,0.0005,861,0.4250766932964325,,
10.59819186,0,2488,136,1893,0.8801099999999993,13.88,0.0005,892,0.27942875027656555,,
10.3716956,0,2527,140,1924,0.8781466666666657,13.58,0.0005,923,0.16941280663013458,,
10.178107339999999,0,2568,144,1956,0.8761200000000006,13.29,0.0005,955,0.3725177049636841,,
10.06179059,0,2601,148,1982,0.8744733333333337,13.14,0.0005,981,0.09150489419698715,,
10.175838650000001,0,2652,152,2022,0.8719400000000006,13.28,0.0005,1021,0.2395029067993164,,
9.95729512,0,2684,156,2047,0.8703566666666674,12.96,0.0005,1046,0.3901975154876709,,
9.76158451,0,2741,160,2092,0.8675066666666656,12.67,0.0005,1091,0.3133930265903473,,
9.765923279999999,0,2788,164,2129,0.8651633333333338,12.63,0.0005,1128,0.27939924597740173,,
9.912981979999998,0,2847,168,2176,0.8621866666666667,12.84,0.0005,1175,0.5331169962882996,,
10.00206558,0,2893,172,2212,0.8599066666666665,12.92,0.0005,1211,0.7099369168281555,,
10.250296939999998,0,3000,176,2297,0.8545233333333337,13.23,0.0005,1296,0.3464062511920929,,
10.08974547,0,3065,180,2348,0.8512933333333337,13.05,0.0005,1347,0.32587820291519165,,
9.90539576,0,3119,184,2391,0.8485699999999994,12.83,0.0005,1390,0.4272056818008423,,
9.949604299999999,0,3218,188,2469,0.8436300000000008,12.87,0.0005,1468,0.1740230768918991,,
10.038488110000001,0,3311,192,2543,0.8389433333333329,13.06,0.0005,1542,0.30261051654815674,,
9.93962595,0,3362,196,2583,0.8364099999999999,12.95,0.0005,1582,0.20131130516529083,,
9.75021703,0,3396,200,2610,0.8346999999999992,12.7,0.0005,1609,0.5725848078727722,,
9.583431800000001,0,3431,204,2638,0.8329266666666669,12.44,0.0005,1637,0.30115267634391785,,
9.4407914,0,3496,208,2689,0.8296966666666669,12.17,0.0005,1688,0.37888243794441223,,
9.45588201,0,3556,212,2736,0.8267199999999997,12.2,0.0005,1735,0.4692692458629608,,
9.05234538,0,3593,216,2765,0.8248833333333336,11.7,0.0005,1764,0.5353113412857056,,
8.69878759,0,3633,220,2797,0.8228566666666663,11.27,0.0005,1796,0.6255792379379272,,
8.33787762,0,3675,224,2830,0.8207666666666674,10.81,0.0005,1829,0.5160098671913147,,
8.179214289999999,0,3716,228,2862,0.8187400000000001,10.68,0.0005,1861,0.47902143001556396,,
7.813662829999999,0,3744,232,2884,0.8173466666666661,10.22,0.0005,1883,0.4989829957485199,,
7.95769458,0,3802,236,2930,0.8144333333333327,10.37,0.0005,1929,0.7903853058815002,,
8.18504389,0,3876,240,2988,0.8107600000000006,10.64,0.0005,1987,0.12051587551832199,,
8.35194976,0,3944,244,3042,0.8073399999999993,10.86,0.0005,2041,0.3209097683429718,,
8.539634269999999,0,4010,248,3094,0.8040466666666676,11.12,0.0005,2093,0.6103134155273438,,
8.495967889999998,0,4057,252,3131,0.8017033333333337,11.09,0.0005,2130,0.6100075244903564,,
8.52319942,0,4095,256,3161,0.7998033333333339,11.14,0.0005,2160,0.8189955949783325,,
8.52275507,0,4158,260,3211,0.7966366666666675,11.19,0.0005,2210,0.4226377308368683,,
8.87523642,0,4263,264,3294,0.7913800000000002,11.65,0.0005,2293,0.42029857635498047,,
8.932392300000002,0,4329,268,3346,0.7880866666666664,11.7,0.0005,2345,0.32011666893959045,,
9.140219680000001,0,4406,272,3407,0.784223333333333,11.95,0.0005,2406,0.5410060882568359,,
9.06176119,0,4505,276,3485,0.7792833333333323,11.88,0.0005,2484,0.2020840346813202,,
8.944947599999999,0,4554,280,3523,0.7768766666666668,11.75,0.0005,2522,0.43153128027915955,,
9.04188814,0,4625,284,3579,0.7733300000000001,11.88,0.0005,2578,0.12103650718927383,,
8.77216978,0,4678,288,3621,0.7706699999999995,11.52,0.0005,2620,0.426740437746048,,
8.544264510000001,0,4728,292,3660,0.7682000000000002,11.17,0.0005,2659,0.4252035617828369,,
8.894230699999998,0,4843,296,3751,0.7624366666666671,11.68,0.0005,2750,0.02652735449373722,,
9.05498541,0,4907,300,3801,0.7592700000000008,11.91,0.0005,2800,0.9144511222839355,,
9.23652815,0,4971,304,3851,0.7561033333333324,12.13,0.0005,2850,0.4578632116317749,,
9.145172379999998,0,5026,308,3895,0.7533166666666664,12.06,0.0005,2894,0.8400898575782776,,
9.2920236,0,5101,312,3954,0.7495800000000006,12.18,0.0005,2953,0.7400368452072144,,
9.49016621,0,5174,316,4011,0.7459700000000002,12.46,0.0005,3010,0.6575132012367249,,
9.7783815,0,5265,320,4083,0.7414099999999998,12.86,0.0005,3082,0.5347630381584167,,
9.777751349999999,0,5305,324,4114,0.7394466666666663,12.84,0.0005,3113,0.4474847912788391,,
10.028002769999999,0,5380,328,4173,0.7357100000000005,13.11,0.0005,3172,0.5476979613304138,,
10.365569390000001,0,5465,332,4240,0.7314666666666667,13.56,0.0005,3239,0.4532071053981781,,
10.301543100000002,0,5513,336,4278,0.7290599999999992,13.48,0.0005,3277,1.1081151962280273,,
10.27118999,0,5590,340,4339,0.7251966666666658,13.51,0.0005,3338,1.3787257671356201,,
10.246384910000002,0,5648,344,4385,0.7222833333333323,13.43,0.0005,3384,0.3391936719417572,,
10.13074595,0,5696,348,4423,0.7198766666666667,13.29,0.0005,3422,1.111747145652771,,
10.250645030000001,0,5763,352,4476,0.7165199999999992,13.45,0.0005,3475,0.9900351166725159,,
10.51162296,0,5833,356,4531,0.7130366666666662,13.7,0.0005,3530,0.34360837936401367,,
